CODE,NAME
A00.1,"Холера, вызванная холерным вибрионом 01, биовар eltor"
A00.9,Холера неуточненная
A01.0,Брюшной тиф
A02.0,Сальмонеллезный энтерит
A04.0,"Энтеропатогенная инфекция, вызванная"
A04.1,"Энтеротоксигенная инфекция, вызванная"
A04.2,"Энтероинвазивная инфекция, вызванная"
A04.3,"Энтерогеморрагическая инфекция, вызванная"
A04.4,"Другие кишечные инфекции, вызванные"
A04.5,"Энтерит, вызванный Campylobacter"
A04.6,"Энтерит, вызванный Yersinia enterocolitica"
A04.8,Другие уточненные бактериальные кишечные
A04.9,Бактериальная кишечная инфекция неуточненная
A05.0,Стафилококковое пищевое отравление
A05.2,"Пищевое отравление, вызванное Clostridium perfringens"
A05.3,"Пищевое отравление, вызванное Vibrio parahaemolyticus"
A05.4,"Пищевое отравление, вызванное Bacillus cereus"
A05.8,Другие уточненные бактериальные пищевые отравления
A05.9,Бактериальное пищевое отравление неуточненное
A09,Диарея и гастроэнтерит предположительно инфекционного происхождения
A06.0,Острая амебная дизентерия
A06.1,Хронический кишечный амебиаз
A06.2,Амебный недизентерийный колит
A06.7,Кожный амебиаз
A06.9,Амебиаз неуточненный
A06,Амебиаз
A08.0,Ротавирусный энтерит
A08.1,"Острая гастроэнтеропатия, вызванная возбудителем Норволк"
A08.2,Аденовирусный энтерит
A08.3,Другие вирусные энтериты
A08.4,Вирусная кишечная инфекция неуточненная
A20.0,Бубонная чума
A20.1,Целлюлярнокожная чума
A20.8,Другие формы чумы
A20.9,Чума неуточненная
A20.2,Легочная чума
A20.3,Чумной менингит
A20.7,Септическая чума
A27.0,Лептоспироз желтушно-геморрагический
B03,016.004
A30,Лепра [болезнь Гансена]
A32,Листериоз
A36.0,Дифтерия глотки
A36.1,Дифтерия носоглотки
A36.2,Дифтерия гортани
A36.3,Дифтерия кожи
A36.8,Другая дифтерия
A36.9,Дифтерия неуточненная
A37.0,"Коклюш, вызванный Bordetella"
A37.1,"Коклюш, вызванный Bordetella"
A37.9,Коклюш неуточненный
A38,Скарлатина
A39.2,Острая менингококкемия
A39.3,Хроническая менингококкемия
A39.4,Менингококкемия неуточненная
A39.5,Менингококковая болезнь сердца
A39.8,Другие менингококковые инфекции
A39.9,Менингококковая инфекция неуточненная
A39.1,Синдром Уотерхауса-Фридериксена ()
E23.0,Гипопитуитаризм
E23.1,Медикаментозный гипопитуитаризм
E27.1,Первичная недостаточность коры надпочечников
E27.2,Аддисонов криз
E27.3,Медикаментозная недостаточность коры надпочечников
E27.8,Другие уточненные нарушения надпочечников
E27.9,Болезнь надпочечников неуточненная
E31.0,Аутоиммунная полигландулярная недостаточность
E71.3,Нарушения обмена жирных кислот
E89.6,"Гипофункция коры надпочечников (мозгового слоя), возникшая после медицинских процедур"
A12,06 045
A40.1,"Септицемия, вызванная стрептококком"
A40.2,"Септицемия, вызванная стрептококком"
A40.3,"Септицемия, вызванная Streptococcus"
A40.8,Другие стрептококковые септицемии
A40.9,Стрептококковая септицемия неуточненная
A49.3,"Инфекция, вызванная микоплазмой, неуточненная"
A56.4,Хламидийный фарингит
A70,"Инфекция, вызываемая Chlamydia psittaci"
A74.8,Другие хламидийные болезни
A74.9,Хламидийная инфекция неуточненная
B96.0,"Mycoplasmapneumoniae [M.pneumoniae] как причина болезней, классифицированных в других рубриках"
J15.7,"Пневмония, вызванная Mycoplasma pneumoniae"
J16.0,"Пневмония, вызванная хламидиями"
J20.0,"Острый бронхит, вызванный Mycoplasma pneumoniae"
A84,Клещевой вирусный энцефалит
A85,"Другие вирусные энцефалиты, не классифицированные в других рубриках"
A85.0,Энтеровирусный энцефалит (*)
A85.1,Аденовирусный энцефалит (*)
A85.8,Другие уточненные вирусные энцефалиты
A86,Вирусный энцефалит неуточненный
G05.1,"Энцефалит, миелит и энцефаломиелит при вирусных болезнях, классифицированных в других рубриках"
A87.0,Энтеровирусный менингит ( <*>)
A87.2,Лимфоцитарный хориоменингит
A87.8,Другой вирусный менингит
A87.9,Вирусный менингит неуточненный
B05.1,"Корь, осложненная менингитом ( <*>)"
G00.8,"Менингит, вызванный другими бактериями"
G02.1,Менингит при микозах
G02.8,"Менингит при других уточненных инфекционных и паразитарных болезнях, классифицированных в других рубриках"
G03.0,Непиогенный менингит
G03.9,Менингит неуточненный
A98.5,Геморрагическая лихорадка с почечным
B00.8,Другие формы герпетических инфекций
B00.9,Герпетическая инфекция неуточненная
B25.8,Другие цитомегаловирусные болезни
B25.9,Цитомегаловирусная болезнь неуточненная
B27.0,"Мононуклеоз, вызванный гамма-герпетическим вирусом"
B27.1,Цитомегаловирусный мононуклеоз
B27.8,Другой инфекционный мононуклеоз
B00.2,Герпетический гингивостоматит и
B01.2,+ Ветряная оспа с пневмонией ()
B01.8,Ветряная оспа с другими осложнениями
B01.9,Ветряная оспа без осложнений
B01.0,Ветряная оспа с менингитом ()
B01.1,Ветряная оспа с энцефалитом ()
B05.4,Корь с кишечными осложнениями
B05.8,Корь с другими осложнениями
B05.9,Корь без осложнений
B06.9,Краснуха без осложнений
B15.9,Гепатит A без печеночной комы
B16.9,Острый гепатит B без дельта-агента и без печеночной комы
B17.1,Острый гепатит C
B18.0,Хронический вирусный гепатит B с
B18.1,Хронический вирусный гепатит B без
B18.2,Хронический вирусный гепатит C
B18.8,Другой хронический вирусный гепатит
B18.9,Хронический вирусный гепатит
