MKB_CODE,RECOMMENDATIONS
A00.1,Консультация педиатра$Консультация невролога$Консультация инфекциониста$Консультация анестезиолога-реаниматолога$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Коагулограмма$Кислотно-основное состояние (КОС) крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости
A00.9,Консультация педиатра$Консультация невролога$Консультация инфекциониста$Консультация анестезиолога-реаниматолога$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Коагулограмма$Кислотно-основное состояние (КОС) крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости
A01.0,Консультация эпидемиолога$Консультация уролога$Консультация терапевта$Консультация невролога$Консультация инфекциониста$Консультация гематолога$Консультация врача КДЛ$Лабораторный диагност$Реакция пассивной гемагглютинации (РПГА)$Посев мочи на микрофлору$Посев кала$Полимеразная цепная реакция (ПЦР-диагностика)$Копрограмма$Серологическое исследование кала$УЗИ органов брюшной полости$Измерение АД$Вакцинация против брюшного тифа$Исследование пульса
A01.1,
A01.2,
A01.3,
A01.4,
A02.0,Консультация хирурга$Консультация инфекциониста$Стеркобилин в кале$Реакция Вассермана (RW)$Посев кала на патогенную кишечную флору$Общий анализ крови$Исследования мочи$Исследования кала$Электрокардиография (ЭКГ)$Флюорография$Рентгенография грудной клетки
A02.1,Консультация хирурга$Консультация инфекциониста$Стеркобилин в кале$Реакция Вассермана (RW)$Посев крови на стерильность$Посев крови на аэробные и анаэробные бактерии$Посев кала на патогенную кишечную флору$Общий анализ крови$Исследования мочи$Исследования кала$Электрокардиография (ЭКГ)$Флюорография$УЗИ органов брюшной полости$Рентгенография грудной клетки
A02.9,
A03.0,Консультация эпидемиолога$Яйца глистов в кале$Цитология мазка-отпечатка кожного новообразования$Посев крови на аэробные и анаэробные бактерии$Посев кала$Копрограмма$УЗИ органов брюшной полости$Исследования среды$Измерение АД$Электрофорез лекарственный$Общие лечебные ванны$Микроклизма$Пальпация мышц$Исследование пульса
A03.1,Консультация эпидемиолога$Яйца глистов в кале$Цитология мазка-отпечатка кожного новообразования$Посев крови на аэробные и анаэробные бактерии$Посев кала$Копрограмма$УЗИ органов брюшной полости$Исследования среды$Измерение АД$Электрофорез лекарственный$Общие лечебные ванны$Микроклизма$Пальпация мышц$Исследование пульса
A03.2,Консультация эпидемиолога$Яйца глистов в кале$Цитология мазка-отпечатка кожного новообразования$Посев крови на аэробные и анаэробные бактерии$Посев кала$Копрограмма$УЗИ органов брюшной полости$Исследования среды$Измерение АД$Электрофорез лекарственный$Общие лечебные ванны$Микроклизма$Пальпация мышц$Исследование пульса
