mkb_code;recommendation;del_freq;use_freq;type
A00.1|A00.9;Прием (осмотр, консультация) врача- инфекциониста первичный;1;1;pr
A00.1|A00.9;Прием (осмотр, консультация) врача- педиатра первичный;0,5;1;pr
A00.1|A00.9;Исследование кала на скрытую кровь;1;1;li
A00.1|A00.9;Исследование кала на простейшие и яйца гельминтов;1;1;li
A00.1|A00.9;Микроскопическое исследование отпечатков с поверхности кожи перианальных складок на яйца остриц (Enterobius vermicularis);1;1;li
A00.1|A00.9;Определение антител к сальмонелле кишечной (Salmonella enterica) в крови;1;1;li
A00.1|A00.9;Определение антител к сальмонелле паратифа A (Salmonella paratyphy A) в крови;1;1;li
A00.1|A00.9;Определение антител к сальмонелле паратифа B (Salmonella paratyphy B) в крови;1;1;li
A00.1|A00.9;Определение антител к сальмонелле тифи (Salmonella typhi) в крови;1;1;li
A00.1|A00.9;Определение антител к холерному вибриону (Vibrio cholerae) в крови;1;1;li
A00.1|A00.9;Определение антител к сероварам иерсинии энтероколитика (Yersinia enterocolitica) в крови;0,2;1;li
A00.1|A00.9;Определение антител классов M, G (IgM, IgG) к иерсинии псевдотуберкулеза (Yersinia pseudotuberculosis) в крови;0,2;1;li
A00.1|A00.9;Определение антител классов M, G (IgM, IgG) к шигелле Боуди (Shigella boudii) в крови;1;1;li
A00.1|A00.9;Определение антител классов M, G (IgM, IgG) к шигелле дизентерии (Shigella dysenterie) в крови;1;1;li
A00.1|A00.9;Определение антител классов M, G (IgM, IgG) к шигелле Зонне (Shigella zonnei) в крови;1;1;li
A00.1|A00.9;Определение антител классов M, G (IgM, IgG) к шигелле Флекснера (Shigella fplexneri) в крови;1;1;li
A00.1|A00.9;Бактериологическое исследование кала на возбудителя дизентерии (Shigella spp.);1;2;li
A00.1|A00.9;Бактериологическое исследование кала на тифо- паратифозные микроорганизмы (Salmonella typhi);1;2;li
A00.1|A00.9;Бактериологическое исследование кала на сальмонеллы (Salmonella spp.);1;2;li
A00.1|A00.9;Бактериологическое исследование кала на иерсинии (Yersinia spp.);0,2;1;li
A00.1|A00.9;Бактериологическое исследование кала на кампилобактерии (Campylobacter spp.);1;1;li
A00.1|A00.9;Бактериологическое исследование кала на холеру (Vibrio spp.);1;1;li
A00.1|A00.9;Бактериологическое исследование кала на аэробные и факультативно- анаэробные микроорганизмы;1;2;li
A00.1|A00.9;Определение чувствительности микроорганизмов к антибиотикам и другим лекарственным препаратам;1;1;li
A00.1|A00.9;Общий (клинический) анализ крови развернутый;1;1;li
A00.1|A00.9;Анализ крови биохимический общетерапевтический;1;1;li
A00.1|A00.9;Анализ мочи общий;1;1;li
A00.1|A00.9;Копрологическое исследование;1;1;li
A00.1|A00.9;Регистрация электрокардиограммы;0,25;1;im
A00.1|A00.9;Бактериологическое исследование кала на холеру (Vibrio spp.);1;3;li
A00.1|A00.9;Анализ крови биохимический общетерапевтический;0,2;2;li
A00.1|A00.9;Прием (осмотр, консультация) врача - детского хирурга первичный;0,05;1;pr
